status_bucket,num_goals,language,avg_goal_difficulty,nav_hours,poverty_hours,total_hours_lost,lifetime_hours,lifetime_days
undocumented,2,en,8.0,14.4,743.0,757.4,15148.0,1893.5
citizen,3,es,13.67,24.3,377.9,402.2,8044.0,1005.5
DACA,3,es,11.0,32.5,708.4,740.9,14818.0,1852.2
DACA,2,en,11.5,22.4,498.4,520.8,10416.0,1302.0
permanent_resident,2,es,9.5,24.0,530.4,554.4,11088.0,1386.0
undocumented,2,es,16.0,50.7,1004.3,1055.0,21100.0,2637.5
permanent_resident,3,es,9.33,18.8,453.5,472.3,9446.0,1180.8
DACA,3,es,10.0,27.1,713.8,740.9,14818.0,1852.2
DACA,1,en,18.0,27.5,518.2,545.7,10914.0,1364.2
undocumented,1,es,14.0,38.0,1035.8,1073.8,21476.0,2684.5
permanent_resident,1,es,9.0,17.0,514.8,531.8,10636.0,1329.5
DACA,1,en,14.0,28.5,546.9,575.4,11508.0,1438.5
DACA,3,en,13.67,16.5,509.7,526.2,10524.0,1315.5
permanent_resident,5,en,12.0,20.9,344.7,365.6,7312.0,914.0
undocumented,4,es,11.5,37.0,1033.0,1070.0,21400.0,2675.0
undocumented,1,es,12.0,37.4,1000.0,1037.4,20748.0,2593.5
DACA,1,es,12.0,29.0,687.7,716.7,14334.0,1791.8
permanent_resident,3,es,12.33,21.3,501.2,522.5,10450.0,1306.2
undocumented,3,es,13.0,40.6,1033.2,1073.8,21476.0,2684.5
citizen,1,en,18.0,24.4,245.3,269.7,5394.0,674.2
permanent_resident,1,es,12.0,21.4,495.6,517.0,10340.0,1292.5
DACA,1,en,18.0,34.4,472.3,506.7,10134.0,1266.8
citizen,2,en,16.0,19.5,265.3,284.8,5696.0,712.0
undocumented,5,en,12.0,29.4,768.4,797.8,15956.0,1994.5
citizen,1,es,7.0,19.8,369.8,389.6,7792.0,974.0
citizen,4,en,13.25,14.3,263.6,277.9,5558.0,694.8
undocumented,2,es,10.5,35.8,1000.5,1036.3,20726.0,2590.8
undocumented,1,es,7.0,24.5,1045.0,1069.5,21390.0,2673.8
undocumented,2,en,16.0,40.6,729.3,769.9,15398.0,1924.8
undocumented,3,es,13.67,40.9,1020.1,1061.0,21220.0,2652.5
DACA,2,en,11.5,19.4,498.8,518.2,10364.0,1295.5
undocumented,1,en,14.0,34.7,832.7,867.4,17348.0,2168.5
citizen,2,en,10.5,11.0,265.8,276.8,5536.0,692.0
undocumented,4,es,11.5,35.4,1098.1,1133.5,22670.0,2833.8
undocumented,4,en,10.5,28.4,751.6,780.0,15600.0,1950.0
undocumented,1,es,12.0,33.8,1031.1,1064.9,21298.0,2662.2
permanent_resident,1,en,9.0,10.9,349.7,360.6,7212.0,901.5
permanent_resident,3,es,14.67,17.2,503.3,520.5,10410.0,1301.2
DACA,1,es,9.0,26.1,704.3,730.4,14608.0,1826.0
citizen,4,en,11.5,14.2,277.1,291.3,5826.0,728.2
undocumented,2,en,15.0,37.3,744.0,781.3,15626.0,1953.2
citizen,2,en,8.0,7.6,250.7,258.3,5166.0,645.8
citizen,1,es,18.0,29.9,405.8,435.7,8714.0,1089.2
DACA,1,en,14.0,23.1,521.0,544.1,10882.0,1360.2
undocumented,1,en,9.0,19.5,728.9,748.4,14968.0,1871.0
DACA,3,es,12.33,38.9,697.4,736.3,14726.0,1840.8
DACA,1,es,18.0,39.6,735.6,775.2,15504.0,1938.0
undocumented,3,es,9.33,30.1,1057.4,1087.5,21750.0,2718.8
undocumented,3,es,11.0,29.8,1044.6,1074.4,21488.0,2686.0
undocumented,5,en,12.0,29.0,762.4,791.4,15828.0,1978.5
DACA,1,es,7.0,19.3,754.5,773.8,15476.0,1934.5
undocumented,3,es,12.33,36.6,1036.4,1073.0,21460.0,2682.5
DACA,3,es,13.67,33.8,706.9,740.7,14814.0,1851.8
citizen,5,es,12.0,16.4,346.2,362.6,7252.0,906.5
undocumented,2,en,15.0,37.4,691.5,728.9,14578.0,1822.2
DACA,2,en,13.0,21.7,496.0,517.7,10354.0,1294.2
permanent_resident,5,es,12.0,25.0,467.8,492.8,9856.0,1232.0
DACA,1,en,12.0,22.0,515.5,537.5,10750.0,1343.8
citizen,4,en,10.5,9.5,261.0,270.5,5410.0,676.2
DACA,5,es,12.0,28.7,703.1,731.8,14636.0,1829.5
DACA,3,es,11.67,29.9,709.7,739.6,14792.0,1849.0
undocumented,1,es,7.0,24.3,1073.3,1097.6,21952.0,2744.0
DACA,1,es,18.0,38.0,705.5,743.5,14870.0,1858.8
undocumented,3,en,13.67,32.3,748.8,781.1,15622.0,1952.8
citizen,4,en,12.75,14.3,270.0,284.3,5686.0,710.8
citizen,3,es,10.0,12.4,354.6,367.0,7340.0,917.5
DACA,2,es,13.0,23.8,710.1,733.9,14678.0,1834.8
DACA,3,en,10.0,14.6,516.8,531.4,10628.0,1328.5
citizen,2,es,16.0,28.7,380.5,409.2,8184.0,1023.0
undocumented,1,en,9.0,21.8,732.0,753.8,15076.0,1884.5
DACA,3,es,13.67,30.0,710.6,740.6,14812.0,1851.5
permanent_resident,4,es,12.0,23.6,431.7,455.3,9106.0,1138.2
undocumented,3,en,12.33,29.0,724.0,753.0,15060.0,1882.5
DACA,2,es,16.0,36.6,692.8,729.4,14588.0,1823.5
undocumented,3,en,11.33,24.0,722.3,746.3,14926.0,1865.8
undocumented,3,es,13.0,43.7,1032.8,1076.5,21530.0,2691.2
undocumented,2,es,8.0,28.2,1001.3,1029.5,20590.0,2573.8
permanent_resident,1,en,12.0,22.2,333.3,355.5,7110.0,888.8
permanent_resident,3,es,11.67,23.0,486.5,509.5,10190.0,1273.8
undocumented,1,es,14.0,36.6,1026.4,1063.0,21260.0,2657.5
permanent_resident,3,en,9.33,10.6,340.7,351.3,7026.0,878.2
permanent_resident,2,es,10.5,25.9,480.2,506.1,10122.0,1265.2
DACA,1,es,12.0,7.3,712.9,720.2,14404.0,1800.5
undocumented,2,es,8.0,27.5,1078.2,1105.7,22114.0,2764.2
permanent_resident,3,es,11.0,14.2,468.0,482.2,9644.0,1205.5
undocumented,2,en,10.5,27.8,764.8,792.6,15852.0,1981.5
undocumented,2,es,16.0,48.1,1022.6,1070.7,21414.0,2676.8
undocumented,3,en,11.67,26.3,724.4,750.7,15014.0,1876.8
undocumented,4,es,12.0,28.8,1063.2,1092.0,21840.0,2730.0
permanent_resident,1,es,7.0,17.3,496.6,513.9,10278.0,1284.8
citizen,5,en,12.0,9.8,279.4,289.2,5784.0,723.0
DACA,1,es,18.0,42.3,653.4,695.7,13914.0,1739.2
DACA,2,en,11.5,15.7,509.8,525.5,10510.0,1313.8
undocumented,1,es,14.0,39.7,1036.6,1076.3,21526.0,2690.8
undocumented,2,es,13.0,44.1,1053.6,1097.7,21954.0,2744.2
DACA,3,es,12.33,34.1,687.3,721.4,14428.0,1803.5
citizen,2,es,10.5,19.4,376.7,396.1,7922.0,990.2
citizen,5,en,12.0,9.6,369.7,379.3,7586.0,948.2
citizen,3,en,9.33,9.9,254.1,264.0,5280.0,660.0
citizen,4,es,13.25,29.6,374.6,404.2,8084.0,1010.5
DACA,3,en,10.0,16.9,500.3,517.2,10344.0,1293.0
undocumented,2,es,12.5,43.1,1065.9,1109.0,22180.0,2772.5
undocumented,4,en,12.75,31.4,837.7,869.1,17382.0,2172.8
citizen,5,en,12.0,13.8,297.7,311.5,6230.0,778.8
undocumented,2,en,11.5,27.3,744.0,771.3,15426.0,1928.2
citizen,2,en,8.0,11.7,307.9,319.6,6392.0,799.0
citizen,4,es,13.25,30.3,344.5,374.8,7496.0,937.0
undocumented,3,es,11.67,36.2,1047.4,1083.6,21672.0,2709.0
DACA,2,en,12.5,17.4,447.6,465.0,9300.0,1162.5
citizen,2,en,12.5,16.3,289.1,305.4,6108.0,763.5
citizen,2,es,16.0,21.6,377.7,399.3,7986.0,998.2
citizen,1,es,12.0,23.2,375.9,399.1,7982.0,997.8
permanent_resident,5,en,12.0,16.0,276.1,292.1,5842.0,730.2
citizen,1,en,9.0,12.7,151.8,164.5,3290.0,411.2
citizen,4,en,12.0,14.9,274.7,289.6,5792.0,724.0
undocumented,2,en,13.5,28.0,720.4,748.4,14968.0,1871.0
undocumented,3,es,9.33,21.7,1009.7,1031.4,20628.0,2578.5
citizen,3,en,11.67,15.1,260.3,275.4,5508.0,688.5
undocumented,3,es,13.0,42.4,1172.1,1214.5,24290.0,3036.2
citizen,5,en,12.0,11.1,273.0,284.1,5682.0,710.2
citizen,2,en,9.5,10.2,263.1,273.3,5466.0,683.2
DACA,3,en,13.0,31.1,522.2,553.3,11066.0,1383.2
undocumented,4,es,10.5,31.1,1025.9,1057.0,21140.0,2642.5
DACA,2,en,10.5,19.3,524.3,543.6,10872.0,1359.0
undocumented,1,en,18.0,43.5,723.8,767.3,15346.0,1918.2
undocumented,3,es,13.67,42.0,1039.6,1081.6,21632.0,2704.0
undocumented,4,es,11.5,38.8,1007.5,1046.3,20926.0,2615.8
permanent_resident,2,es,15.0,28.5,447.1,475.6,9512.0,1189.0
permanent_resident,3,es,9.33,17.9,490.5,508.4,10168.0,1271.0
DACA,3,en,11.0,23.3,535.6,558.9,11178.0,1397.2
citizen,3,en,13.0,12.0,272.4,284.4,5688.0,711.0
permanent_resident,3,es,12.33,25.2,485.3,510.5,10210.0,1276.2
undocumented,2,en,15.0,36.5,733.3,769.8,15396.0,1924.5
permanent_resident,2,es,13.0,28.5,478.3,506.8,10136.0,1267.0
permanent_resident,3,en,14.67,20.0,348.3,368.3,7366.0,920.8
citizen,3,es,13.0,21.8,394.1,415.9,8318.0,1039.8
DACA,5,en,12.0,21.8,528.0,549.8,10996.0,1374.5
undocumented,5,en,12.0,21.3,759.6,780.9,15618.0,1952.2
undocumented,3,en,12.33,28.5,749.1,777.6,15552.0,1944.0
undocumented,1,es,12.0,29.8,1080.7,1110.5,22210.0,2776.2
DACA,1,en,9.0,14.8,466.0,480.8,9616.0,1202.0
citizen,3,es,13.0,24.7,370.7,395.4,7908.0,988.5
citizen,1,en,18.0,22.0,251.2,273.2,5464.0,683.0
undocumented,2,es,16.0,46.2,1046.4,1092.6,21852.0,2731.5
undocumented,2,es,11.5,39.7,1014.4,1054.1,21082.0,2635.2
permanent_resident,5,en,12.0,7.9,357.3,365.2,7304.0,913.0
DACA,4,en,12.75,34.2,483.4,517.6,10352.0,1294.0
undocumented,4,es,10.5,37.2,1055.3,1092.5,21850.0,2731.2
undocumented,1,en,18.0,46.4,738.7,785.1,15702.0,1962.8
undocumented,4,en,10.5,23.8,746.3,770.1,15402.0,1925.2
permanent_resident,1,es,12.0,25.1,480.6,505.7,10114.0,1264.2
undocumented,3,es,10.0,33.2,1054.1,1087.3,21746.0,2718.2
permanent_resident,1,es,7.0,16.3,480.5,496.8,9936.0,1242.0
DACA,5,es,12.0,30.5,746.9,777.4,15548.0,1943.5
permanent_resident,4,es,13.25,26.1,497.2,523.3,10466.0,1308.2
DACA,3,es,13.67,38.2,713.6,751.8,15036.0,1879.5
citizen,5,en,12.0,11.0,250.7,261.7,5234.0,654.2
undocumented,2,en,10.5,23.9,651.4,675.3,13506.0,1688.2
citizen,5,es,12.0,20.8,359.1,379.9,7598.0,949.8
DACA,2,en,10.5,23.0,504.3,527.3,10546.0,1318.2
DACA,3,es,12.33,32.4,707.9,740.3,14806.0,1850.8
DACA,1,en,7.0,12.7,530.3,543.0,10860.0,1357.5
permanent_resident,4,en,10.5,13.0,344.4,357.4,7148.0,893.5
undocumented,2,es,13.0,43.1,1044.6,1087.7,21754.0,2719.2
citizen,3,en,11.33,12.3,360.6,372.9,7458.0,932.2
DACA,5,en,12.0,23.0,533.0,556.0,11120.0,1390.0
permanent_resident,4,es,12.0,24.8,473.0,497.8,9956.0,1244.5
permanent_resident,2,es,10.5,24.1,455.6,479.7,9594.0,1199.2
DACA,2,en,10.5,25.4,523.3,548.7,10974.0,1371.8
permanent_resident,1,en,9.0,12.7,332.0,344.7,6894.0,861.8
citizen,3,en,11.33,12.5,236.0,248.5,4970.0,621.2
undocumented,1,es,7.0,29.0,1047.5,1076.5,21530.0,2691.2
DACA,3,es,11.67,28.1,677.7,705.8,14116.0,1764.5
undocumented,3,en,14.67,35.7,642.8,678.5,13570.0,1696.2
citizen,2,es,12.5,21.7,386.9,408.6,8172.0,1021.5
undocumented,1,es,14.0,36.5,1047.2,1083.7,21674.0,2709.2
citizen,3,en,12.33,13.1,256.4,269.5,5390.0,673.8
undocumented,2,es,13.5,31.1,1042.3,1073.4,21468.0,2683.5
citizen,3,en,12.33,12.6,362.8,375.4,7508.0,938.5
DACA,5,en,12.0,24.4,461.1,485.5,9710.0,1213.8
permanent_resident,3,en,11.33,17.7,338.4,356.1,7122.0,890.2
citizen,4,en,11.5,5.0,266.7,271.7,5434.0,679.2
undocumented,2,es,10.5,26.5,1042.3,1068.8,21376.0,2672.0
permanent_resident,3,en,12.33,17.3,360.6,377.9,7558.0,944.8
undocumented,1,es,9.0,26.7,1070.9,1097.6,21952.0,2744.0
DACA,5,es,12.0,32.3,697.5,729.8,14596.0,1824.5
citizen,1,es,18.0,33.7,369.6,403.3,8066.0,1008.2
DACA,3,es,11.67,32.4,713.1,745.5,14910.0,1863.8
undocumented,5,en,12.0,26.3,746.6,772.9,15458.0,1932.2
permanent_resident,1,en,9.0,10.5,338.9,349.4,6988.0,873.5
permanent_resident,2,es,10.5,16.0,470.1,486.1,9722.0,1215.2
citizen,2,en,10.5,10.1,282.1,292.2,5844.0,730.5
permanent_resident,2,en,8.0,12.4,353.5,365.9,7318.0,914.8
DACA,1,en,18.0,32.7,446.6,479.3,9586.0,1198.2
undocumented,3,en,13.0,28.2,743.2,771.4,15428.0,1928.5
citizen,2,es,10.5,16.4,389.6,406.0,8120.0,1015.0
undocumented,2,es,13.0,39.6,1144.4,1184.0,23680.0,2960.0
permanent_resident,3,es,11.67,20.4,489.3,509.7,10194.0,1274.2
citizen,4,en,10.5,19.3,251.9,271.2,5424.0,678.0
citizen,4,es,10.5,20.3,316.9,337.2,6744.0,843.0
citizen,1,es,18.0,25.0,389.0,414.0,8280.0,1035.0
DACA,3,es,13.0,28.0,714.5,742.5,14850.0,1856.2
undocumented,2,en,9.5,13.6,764.9,778.5,15570.0,1946.2
DACA,2,es,8.0,20.6,685.3,705.9,14118.0,1764.8
undocumented,1,es,12.0,38.5,1087.5,1126.0,22520.0,2815.0
DACA,4,en,12.0,22.6,518.6,541.2,10824.0,1353.0
DACA,1,en,14.0,19.0,493.6,512.6,10252.0,1281.5
citizen,2,es,10.5,18.2,378.6,396.8,7936.0,992.0
permanent_resident,3,es,11.0,24.0,493.4,517.4,10348.0,1293.5
DACA,1,en,18.0,31.7,510.7,542.4,10848.0,1356.0
permanent_resident,1,es,12.0,28.1,478.9,507.0,10140.0,1267.5
permanent_resident,3,es,12.33,23.6,478.1,501.7,10034.0,1254.2
undocumented,3,en,9.33,21.5,727.0,748.5,14970.0,1871.2
undocumented,1,en,9.0,24.7,749.1,773.8,15476.0,1934.5
undocumented,2,en,13.0,26.4,744.4,770.8,15416.0,1927.0
permanent_resident,3,en,13.67,17.2,343.4,360.6,7212.0,901.5
permanent_resident,4,es,12.0,16.6,457.4,474.0,9480.0,1185.0
DACA,1,es,7.0,19.5,766.1,785.6,15712.0,1964.0
citizen,3,en,14.67,17.0,247.6,264.6,5292.0,661.5
DACA,4,en,13.25,19.9,529.3,549.2,10984.0,1373.0
undocumented,1,en,18.0,54.5,749.6,804.1,16082.0,2010.2
citizen,2,es,13.0,18.5,399.0,417.5,8350.0,1043.8
undocumented,1,en,14.0,34.2,752.4,786.6,15732.0,1966.5
undocumented,5,es,12.0,33.6,1054.6,1088.2,21764.0,2720.5
permanent_resident,2,en,15.0,19.2,371.2,390.4,7808.0,976.0
undocumented,1,en,9.0,22.2,767.3,789.5,15790.0,1973.8
undocumented,4,en,12.75,45.8,761.7,807.5,16150.0,2018.8
citizen,2,es,13.0,18.5,391.8,410.3,8206.0,1025.8
permanent_resident,2,en,15.0,21.6,320.4,342.0,6840.0,855.0
DACA,1,es,14.0,32.7,693.5,726.2,14524.0,1815.5
undocumented,1,en,12.0,28.8,798.4,827.2,16544.0,2068.0
permanent_resident,5,es,12.0,25.5,486.2,511.7,10234.0,1279.2
DACA,2,es,10.5,21.7,728.2,749.9,14998.0,1874.8
permanent_resident,3,en,11.0,12.1,413.4,425.5,8510.0,1063.8
citizen,4,es,12.0,17.0,381.9,398.9,7978.0,997.2
DACA,4,es,10.5,25.4,682.7,708.1,14162.0,1770.2
permanent_resident,5,en,12.0,15.9,351.6,367.5,7350.0,918.8
undocumented,2,es,13.0,41.4,1068.1,1109.5,22190.0,2773.8
undocumented,4,es,10.5,35.3,1032.9,1068.2,21364.0,2670.5
undocumented,3,es,13.67,39.2,1075.3,1114.5,22290.0,2786.2
citizen,1,es,12.0,20.3,352.4,372.7,7454.0,931.8
permanent_resident,1,es,14.0,30.3,463.9,494.2,9884.0,1235.5
undocumented,5,es,12.0,36.7,1041.6,1078.3,21566.0,2695.8
permanent_resident,3,es,11.33,22.1,485.1,507.2,10144.0,1268.0
citizen,1,es,7.0,12.1,386.6,398.7,7974.0,996.8
DACA,3,es,12.33,18.2,723.0,741.2,14824.0,1853.0
permanent_resident,3,es,11.33,22.9,488.8,511.7,10234.0,1279.2
permanent_resident,2,en,11.5,11.5,432.3,443.8,8876.0,1109.5
undocumented,3,es,11.0,46.3,1104.2,1150.5,23010.0,2876.2
permanent_resident,4,en,12.75,13.5,357.6,371.1,7422.0,927.8
citizen,5,es,12.0,20.0,369.8,389.8,7796.0,974.5
permanent_resident,4,en,12.0,10.3,349.9,360.2,7204.0,900.5
permanent_resident,3,en,9.33,18.6,360.3,378.9,7578.0,947.2
DACA,1,en,12.0,24.7,500.5,525.2,10504.0,1313.0
permanent_resident,2,en,15.0,23.2,371.5,394.7,7894.0,986.8
DACA,3,en,13.0,25.3,539.9,565.2,11304.0,1413.0
citizen,3,es,11.0,22.0,307.3,329.3,6586.0,823.2
citizen,5,en,12.0,23.7,281.3,305.0,6100.0,762.5
undocumented,3,es,11.67,36.0,1036.9,1072.9,21458.0,2682.2
undocumented,3,en,12.33,27.8,761.2,789.0,15780.0,1972.5
undocumented,1,es,7.0,15.6,1044.0,1059.6,21192.0,2649.0
citizen,3,es,11.67,21.1,381.8,402.9,8058.0,1007.2
undocumented,3,es,10.0,32.3,1017.7,1050.0,21000.0,2625.0
citizen,3,en,11.67,21.9,253.6,275.5,5510.0,688.8
citizen,5,es,12.0,18.9,364.2,383.1,7662.0,957.8
permanent_resident,1,es,7.0,20.0,500.1,520.1,10402.0,1300.2
permanent_resident,2,es,10.5,22.2,417.7,439.9,8798.0,1099.8
citizen,2,es,8.0,20.4,419.6,440.0,8800.0,1100.0
citizen,4,en,10.5,12.2,292.3,304.5,6090.0,761.2
undocumented,3,es,11.0,29.1,1055.0,1084.1,21682.0,2710.2
permanent_resident,4,es,12.0,22.4,473.3,495.7,9914.0,1239.2
citizen,1,en,12.0,6.7,261.3,268.0,5360.0,670.0
undocumented,3,en,12.33,29.5,755.9,785.4,15708.0,1963.5
undocumented,5,es,12.0,37.4,1036.8,1074.2,21484.0,2685.5
permanent_resident,1,en,7.0,11.0,335.1,346.1,6922.0,865.2
undocumented,4,es,13.25,38.6,1032.7,1071.3,21426.0,2678.2
DACA,3,es,9.33,26.5,661.9,688.4,13768.0,1721.0
undocumented,1,en,12.0,20.4,740.7,761.1,15222.0,1902.8
citizen,2,es,8.0,19.3,346.8,366.1,7322.0,915.2
permanent_resident,5,en,12.0,23.0,332.6,355.6,7112.0,889.0
undocumented,2,en,10.5,26.2,744.0,770.2,15404.0,1925.5
permanent_resident,2,es,13.0,18.8,476.5,495.3,9906.0,1238.2
permanent_resident,4,en,10.5,18.0,347.4,365.4,7308.0,913.5
citizen,3,en,10.0,8.7,252.8,261.5,5230.0,653.8
undocumented,1,es,18.0,52.4,1049.0,1101.4,22028.0,2753.5
undocumented,2,en,16.0,40.6,659.2,699.8,13996.0,1749.5
permanent_resident,3,en,11.33,14.5,334.2,348.7,6974.0,871.8
permanent_resident,4,en,10.5,11.8,345.6,357.4,7148.0,893.5
citizen,2,es,13.5,24.3,347.3,371.6,7432.0,929.0
DACA,3,en,9.33,16.0,508.2,524.2,10484.0,1310.5
citizen,3,es,11.67,23.4,405.9,429.3,8586.0,1073.2
undocumented,1,en,9.0,23.5,759.8,783.3,15666.0,1958.2
permanent_resident,3,es,10.0,22.9,477.8,500.7,10014.0,1251.8
undocumented,3,es,12.33,41.9,1040.9,1082.8,21656.0,2707.0
citizen,4,es,12.75,34.5,382.5,417.0,8340.0,1042.5
undocumented,3,es,10.0,32.0,1054.3,1086.3,21726.0,2715.8
permanent_resident,4,en,12.75,16.8,341.6,358.4,7168.0,896.0
DACA,1,en,7.0,7.7,486.4,494.1,9882.0,1235.2
citizen,2,en,12.5,12.1,216.0,228.1,4562.0,570.2
undocumented,4,en,12.0,27.7,747.2,774.9,15498.0,1937.2
undocumented,2,es,10.5,32.8,1035.1,1067.9,21358.0,2669.8
permanent_resident,4,es,10.5,21.2,456.2,477.4,9548.0,1193.5
undocumented,1,en,12.0,24.6,744.1,768.7,15374.0,1921.8
permanent_resident,2,en,13.0,12.2,448.3,460.5,9210.0,1151.2
undocumented,2,en,9.5,31.9,678.2,710.1,14202.0,1775.2
permanent_resident,2,es,9.5,19.6,516.3,535.9,10718.0,1339.8
permanent_resident,1,en,18.0,22.8,362.4,385.2,7704.0,963.0
undocumented,1,es,14.0,44.2,1019.7,1063.9,21278.0,2659.8
undocumented,2,es,12.5,30.2,1036.9,1067.1,21342.0,2667.8
citizen,5,es,12.0,19.1,379.1,398.2,7964.0,995.5
DACA,1,es,9.0,29.1,700.0,729.1,14582.0,1822.8
citizen,2,es,11.5,19.3,369.1,388.4,7768.0,971.0
undocumented,2,en,16.0,36.1,705.3,741.4,14828.0,1853.5
DACA,1,en,12.0,20.6,501.4,522.0,10440.0,1305.0
citizen,1,en,18.0,19.5,274.1,293.6,5872.0,734.0
permanent_resident,2,es,12.5,21.3,487.6,508.9,10178.0,1272.2
undocumented,3,en,13.67,31.8,726.7,758.5,15170.0,1896.2
DACA,5,es,12.0,30.4,694.7,725.1,14502.0,1812.8
citizen,5,en,12.0,13.3,274.7,288.0,5760.0,720.0
permanent_resident,2,es,11.5,15.6,481.7,497.3,9946.0,1243.2
DACA,2,es,16.0,38.8,704.7,743.5,14870.0,1858.8
undocumented,3,en,11.33,35.0,725.9,760.9,15218.0,1902.2
undocumented,2,en,13.5,30.5,744.1,774.6,15492.0,1936.5
permanent_resident,1,es,14.0,26.2,507.7,533.9,10678.0,1334.8
citizen,4,es,10.5,19.6,389.7,409.3,8186.0,1023.2
undocumented,2,es,12.5,40.4,1046.9,1087.3,21746.0,2718.2
undocumented,4,en,11.5,28.4,753.6,782.0,15640.0,1955.0
undocumented,2,en,12.5,28.1,744.1,772.2,15444.0,1930.5
permanent_resident,3,es,13.67,29.6,477.0,506.6,10132.0,1266.5
DACA,3,en,11.0,16.9,555.4,572.3,11446.0,1430.8
citizen,2,es,11.5,17.0,366.7,383.7,7674.0,959.2
undocumented,3,en,11.0,25.2,738.6,763.8,15276.0,1909.5
citizen,1,en,12.0,24.0,265.9,289.9,5798.0,724.8
citizen,4,en,10.5,7.4,201.8,209.2,4184.0,523.0
undocumented,4,es,11.5,38.2,1004.2,1042.4,20848.0,2606.0
undocumented,2,en,13.5,36.2,741.5,777.7,15554.0,1944.2
citizen,3,en,9.33,8.3,249.5,257.8,5156.0,644.5
undocumented,3,es,13.0,36.6,1045.3,1081.9,21638.0,2704.8
DACA,2,en,16.0,24.9,509.8,534.7,10694.0,1336.8
permanent_resident,4,en,13.25,23.8,312.5,336.3,6726.0,840.8
DACA,1,en,9.0,15.5,552.2,567.7,11354.0,1419.2
undocumented,5,es,12.0,35.3,1038.2,1073.5,21470.0,2683.8
DACA,2,es,16.0,36.4,722.8,759.2,15184.0,1898.0
citizen,1,en,7.0,7.2,247.7,254.9,5098.0,637.2
undocumented,2,es,12.5,46.7,1054.6,1101.3,22026.0,2753.2
permanent_resident,2,es,16.0,30.1,451.2,481.3,9626.0,1203.2
permanent_resident,1,es,12.0,32.0,483.9,515.9,10318.0,1289.8
permanent_resident,5,en,12.0,9.6,353.3,362.9,7258.0,907.2
DACA,2,en,12.5,22.6,512.4,535.0,10700.0,1337.5
DACA,1,es,9.0,25.0,699.6,724.6,14492.0,1811.5
permanent_resident,4,es,10.5,25.1,484.6,509.7,10194.0,1274.2
citizen,5,es,12.0,17.3,392.5,409.8,8196.0,1024.5
undocumented,2,en,16.0,41.8,711.7,753.5,15070.0,1883.8
DACA,3,es,10.0,30.6,729.5,760.1,15202.0,1900.2
DACA,4,es,12.75,31.9,761.2,793.1,15862.0,1982.8
DACA,5,es,12.0,33.0,708.3,741.3,14826.0,1853.2
permanent_resident,1,en,18.0,21.3,338.7,360.0,7200.0,900.0
DACA,1,es,14.0,30.2,697.9,728.1,14562.0,1820.2
permanent_resident,1,en,9.0,10.9,256.4,267.3,5346.0,668.2
DACA,1,en,18.0,25.9,502.4,528.3,10566.0,1320.8
undocumented,1,en,12.0,29.6,850.1,879.7,17594.0,2199.2
citizen,3,es,14.67,22.9,376.1,399.0,7980.0,997.5
undocumented,2,es,10.5,32.0,1058.7,1090.7,21814.0,2726.8
DACA,2,es,13.5,31.9,741.2,773.1,15462.0,1932.8
citizen,4,en,12.0,12.6,277.3,289.9,5798.0,724.8
permanent_resident,1,es,14.0,28.0,488.1,516.1,10322.0,1290.2
permanent_resident,3,en,11.33,14.3,402.1,416.4,8328.0,1041.0
